project_id,project_name,state,district,stage,start_date,target_completion_date,actual_or_projected_date,planned_duration_days,compensation_pct,legal_case,rr_status,affected_families,budget_crores,latitude,longitude,delay_days,delay_flag,clr_completed_pct,sector,cost_overrun_pct
PRJ-RA-1062,Jodhpur National Highway Expansion,Rajasthan,Jodhpur,Possession & Physical Transfer,2024-07-09,2026-04-23,2026-04-23,653,90.6,0,Completed,793,1534.38,26.22963,72.95256,0,0,97.33,Road Transport and Highways,0.0
PRJ-AN-1063,Visakhapatnam Expressway Link Road,Andhra Pradesh,Visakhapatnam,Section 11 Notification,2024-03-24,2026-01-29,2026-10-28,676,22.2,1,Pending,2605,556.78,17.65652,83.14069,272,1,98.75,Road Transport and Highways,0.0
PRJ-OD-1064,Sambalpur High-Speed Rail Corridor,Odisha,Sambalpur,Possession & Physical Transfer,2023-06-07,2025-04-27,2025-11-12,690,81.8,1,Completed,1220,3274.39,21.54374,83.9402,199,1,99.88,Road Transport and Highways,0.0
PRJ-KA-1065,Mysuru Dedicated Freight Corridor,Karnataka,Mysuru,Award of Compensation (Section 23/30),2024-06-04,2025-04-19,2025-04-19,319,88.4,0,Completed,1156,3044.49,12.36528,76.64064,0,0,95.73,Road Transport and Highways,0.0
PRJ-TA-1066,Chennai Metro Rail Phase-II,Tamil Nadu,Chennai,Award of Compensation (Section 23/30),2024-08-16,2026-06-28,2027-02-20,681,65.5,1,Completed,1854,3048.62,13.07556,80.24218,237,1,99.92,Road Transport and Highways,0.0
PRJ-WE-1067,Kolkata Multi-Modal Logistics Park,West Bengal,Kolkata,Social Impact Assessment (SIA),2024-02-25,2024-10-06,2025-01-06,224,21.2,0,In Progress,1962,1215.89,22.65075,88.41068,92,1,99.57,Road Transport and Highways,0.0
PRJ-RA-1068,Jaipur National Highway Expansion,Rajasthan,Jaipur,Social Impact Assessment (SIA),2024-05-29,2025-10-30,2026-11-04,519,23.2,1,Pending,1828,3063.5,26.94799,75.7729,370,1,97.33,Road Transport and Highways,0.0
PRJ-UT-1069,Kanpur Industrial Corridor Node,Uttar Pradesh,Kanpur,Award of Compensation (Section 23/30),2024-02-12,2024-10-31,2025-03-01,262,67.1,0,Completed,2787,3003.41,26.47019,80.39389,121,1,96.79,Road Transport and Highways,0.0
PRJ-MA-1070,Nagpur Smart City Bypass,Maharashtra,Nagpur,Section 4 - Preliminary Notification,2023-08-29,2024-12-15,2025-06-05,474,14.7,1,Pending,3083,3491.38,21.18746,79.12082,172,1,99.96,Road Transport and Highways,0.0
PRJ-TA-1071,Chennai National Highway Expansion,Tamil Nadu,Chennai,Section 4 - Preliminary Notification,2023-11-29,2024-07-23,2024-12-29,237,3.7,1,Pending,1560,1132.78,13.06863,80.29979,159,1,99.92,Road Transport and Highways,0.0
PRJ-MA-1072,Thane Smart City Bypass,Maharashtra,Thane,Section 19 Declaration (R&R Scheme),2023-09-04,2025-07-24,2026-02-04,689,58.7,1,In Progress,611,3207.98,19.17915,72.8996,195,1,99.96,Road Transport and Highways,0.0
PRJ-AN-1073,Visakhapatnam Expressway Link Road,Andhra Pradesh,Visakhapatnam,Section 4 - Preliminary Notification,2024-03-28,2025-09-12,2026-01-29,533,6.4,1,Pending,1250,3458.63,17.64682,83.27375,139,1,98.75,Road Transport and Highways,0.0
PRJ-RA-1074,Jaipur High-Speed Rail Corridor,Rajasthan,Jaipur,Social Impact Assessment (SIA),2024-01-26,2025-07-26,2026-06-19,547,24.6,1,In Progress,2889,2075.62,26.87632,75.79785,328,1,97.33,Road Transport and Highways,0.0
PRJ-RA-1075,Jaipur Metro Rail Phase-II,Rajasthan,Jaipur,Social Impact Assessment (SIA),2023-12-27,2025-02-03,2026-02-18,404,20.1,1,Pending,2568,2282.67,26.93292,75.85184,380,1,97.33,Road Transport and Highways,0.0
PRJ-MA-1076,Nagpur Smart City Bypass,Maharashtra,Nagpur,Section 11 Notification,2023-05-15,2024-02-11,2024-06-08,272,20.3,0,Pending,1363,3197.25,21.19164,79.14843,118,1,99.96,Road Transport and Highways,0.0
PRJ-RA-1077,Jodhpur Metro Rail Phase-II,Rajasthan,Jodhpur,Social Impact Assessment (SIA),2023-09-21,2025-07-25,2025-11-21,673,11.8,0,Pending,1233,3390.74,26.23383,72.95635,119,1,97.33,Road Transport and Highways,0.0
PRJ-KA-1078,Mysuru River Valley Hydro Irrigation Link,Karnataka,Mysuru,Section 11 Notification,2023-04-03,2024-11-07,2025-07-29,584,26.1,1,In Progress,2222,196.63,12.30933,76.69099,264,1,95.73,Road Transport and Highways,0.0
PRJ-UT-1079,Lucknow Greenfield Airport Access Highway,Uttar Pradesh,Lucknow,Section 4 - Preliminary Notification,2024-07-28,2025-12-25,2026-02-06,515,9.5,0,Pending,931,3216.11,26.84098,80.97837,43,1,96.79,Road Transport and Highways,0.0
PRJ-OD-1080,Bhubaneswar High-Speed Rail Corridor,Odisha,Bhubaneswar,Social Impact Assessment (SIA),2023-02-16,2023-09-22,2025-01-24,218,9.7,1,Pending,2042,1169.62,20.27828,85.80386,490,1,99.88,Road Transport and Highways,0.0
PRJ-GU-1081,Surat Multi-Modal Logistics Park,Gujarat,Surat,Possession & Physical Transfer,2023-04-12,2025-02-21,2025-07-23,681,84.3,1,Completed,1170,2212.43,21.24229,72.88797,152,1,99.99,Road Transport and Highways,0.0
PRJ-KA-1082,Bengaluru Urban River Valley Hydro Irrigation Link,Karnataka,Bengaluru Urban,Possession & Physical Transfer,2024-01-03,2024-09-01,2024-10-12,242,98.7,0,Completed,802,1483.77,12.90627,77.54854,41,1,95.73,Road Transport and Highways,0.0
PRJ-MA-1083,Bhopal National Highway Expansion,Madhya Pradesh,Bhopal,Section 4 - Preliminary Notification,2023-12-08,2025-02-09,2025-08-17,429,12.4,1,Pending,2337,3462.55,23.26857,77.42642,189,1,99.97,Road Transport and Highways,0.0
PRJ-MA-1084,Bhopal National Highway Expansion,Madhya Pradesh,Bhopal,Section 11 Notification,2023-05-29,2024-04-06,2024-12-23,313,41.0,1,Pending,739,1959.72,23.18228,77.459,261,1,99.97,Road Transport and Highways,0.0
PRJ-MA-1085,Pune Expressway Link Road,Maharashtra,Pune,Section 11 Notification,2023-02-23,2023-12-29,2024-08-03,309,16.9,1,In Progress,2179,2634.76,18.56488,73.85882,218,1,99.96,Road Transport and Highways,0.0
PRJ-UT-1086,Lucknow Smart City Bypass,Uttar Pradesh,Lucknow,Section 4 - Preliminary Notification,2024-06-17,2025-10-18,2026-05-27,488,7.2,1,Pending,152,1684.44,26.83096,80.97598,221,1,96.79,Road Transport and Highways,0.0
PRJ-MA-1087,Thane High-Speed Rail Corridor,Maharashtra,Thane,Section 11 Notification,2023-06-01,2024-02-03,2024-10-27,247,31.5,1,In Progress,2582,572.74,19.19924,72.99368,267,1,99.96,Road Transport and Highways,0.0
PRJ-MA-1088,Bhopal Multi-Modal Logistics Park,Madhya Pradesh,Bhopal,Section 4 - Preliminary Notification,2023-04-28,2024-06-01,2024-06-01,400,12.4,0,Pending,960,1590.73,23.2437,77.44934,0,0,99.97,Road Transport and Highways,0.0
PRJ-OD-1089,Bhubaneswar Industrial Corridor Node,Odisha,Bhubaneswar,Possession & Physical Transfer,2023-09-19,2025-04-04,2025-05-27,563,76.7,0,Completed,2838,3344.53,20.23102,85.75995,53,1,99.88,Road Transport and Highways,0.0
PRJ-AN-1090,Visakhapatnam National Highway Expansion,Andhra Pradesh,Visakhapatnam,Award of Compensation (Section 23/30),2024-07-29,2025-12-28,2026-09-12,517,79.9,1,Completed,1707,2394.54,17.74569,83.25387,258,1,98.75,Road Transport and Highways,0.0
PRJ-KA-1091,Bengaluru Urban High-Speed Rail Corridor,Karnataka,Bengaluru Urban,Award of Compensation (Section 23/30),2024-06-03,2025-07-05,2026-03-14,397,54.9,1,Completed,2000,668.35,12.90998,77.55917,252,1,95.73,Road Transport and Highways,0.0
PRJ-MA-1092,Bhopal Smart City Bypass,Madhya Pradesh,Bhopal,Possession & Physical Transfer,2024-07-24,2025-02-15,2025-05-03,206,81.7,0,Completed,2719,2190.13,23.29233,77.38204,77,1,99.97,Road Transport and Highways,0.0
PRJ-MA-1093,Pune Expressway Link Road,Maharashtra,Pune,Social Impact Assessment (SIA),2024-08-02,2026-03-15,2026-12-22,590,5.6,1,Pending,3060,383.11,18.50059,73.84928,282,1,99.96,Road Transport and Highways,0.0
PRJ-WE-1094,Kolkata Smart City Bypass,West Bengal,Kolkata,Section 4 - Preliminary Notification,2023-02-23,2024-01-28,2024-12-27,339,1.2,1,Pending,2555,677.32,22.5635,88.35174,334,1,99.57,Road Transport and Highways,0.0
PRJ-UT-1095,Kanpur Dedicated Freight Corridor,Uttar Pradesh,Kanpur,Award of Compensation (Section 23/30),2023-04-27,2024-10-11,2024-11-16,533,76.7,0,Completed,1185,1590.21,26.37717,80.31514,36,1,96.79,Road Transport and Highways,0.0
PRJ-MA-1096,Nagpur National Highway Expansion,Maharashtra,Nagpur,Social Impact Assessment (SIA),2023-11-05,2024-12-05,2025-11-24,396,11.6,1,Pending,3155,2720.62,21.14538,79.0771,354,1,99.96,Road Transport and Highways,0.0
PRJ-UT-1097,Lucknow River Valley Hydro Irrigation Link,Uttar Pradesh,Lucknow,Award of Compensation (Section 23/30),2023-12-29,2024-09-07,2025-08-30,253,50.8,1,In Progress,3064,1480.19,26.90464,80.95832,357,1,96.79,Road Transport and Highways,0.0
PRJ-BI-1098,Patna Multi-Modal Logistics Park,Bihar,Patna,Section 11 Notification,2023-04-28,2024-12-12,2025-04-08,594,43.4,1,In Progress,1355,219.87,25.64722,85.20476,117,1,99.55,Road Transport and Highways,0.0
PRJ-GU-1099,Ahmedabad Dedicated Freight Corridor,Gujarat,Ahmedabad,Section 19 Declaration (R&R Scheme),2024-02-15,2026-01-31,2026-02-27,716,40.0,0,In Progress,1295,413.47,22.95472,72.59272,27,0,99.99,Road Transport and Highways,0.0
PRJ-RA-1100,Jodhpur Dedicated Freight Corridor,Rajasthan,Jodhpur,Section 11 Notification,2023-12-26,2024-11-21,2025-03-08,331,20.2,0,Pending,624,941.5,26.28053,73.04918,107,1,97.33,Road Transport and Highways,0.0
PRJ-RA-1101,Jaipur Greenfield Airport Access Highway,Rajasthan,Jaipur,Award of Compensation (Section 23/30),2024-08-16,2026-05-17,2026-11-05,639,94.4,1,Completed,2337,2431.8,26.97068,75.80765,172,1,97.33,Road Transport and Highways,0.0
PRJ-RA-1102,Jaipur Greenfield Airport Access Highway,Rajasthan,Jaipur,Possession & Physical Transfer,2023-11-07,2025-02-10,2025-07-01,461,82.8,1,Completed,1466,2131.26,26.8415,75.84037,141,1,97.33,Road Transport and Highways,0.0
PRJ-MA-1103,Thane Smart City Bypass,Maharashtra,Thane,Award of Compensation (Section 23/30),2024-06-03,2025-12-28,2026-04-04,573,83.3,0,In Progress,2295,1700.08,19.21026,73.02767,97,1,99.96,Road Transport and Highways,0.0
PRJ-TA-1104,Coimbatore Smart City Bypass,Tamil Nadu,Coimbatore,Section 19 Declaration (R&R Scheme),2024-05-28,2025-04-27,2026-01-14,334,70.5,1,In Progress,1870,3358.37,11.09398,76.88929,262,1,99.92,Road Transport and Highways,0.0
PRJ-UT-1105,Lucknow Greenfield Airport Access Highway,Uttar Pradesh,Lucknow,Section 19 Declaration (R&R Scheme),2024-06-20,2026-06-05,2027-02-05,715,42.7,1,In Progress,1515,2192.85,26.89061,80.97482,245,1,96.79,Road Transport and Highways,0.0
PRJ-TA-1106,Coimbatore High-Speed Rail Corridor,Tamil Nadu,Coimbatore,Section 11 Notification,2023-04-07,2024-11-02,2025-03-18,575,43.9,0,Pending,2989,1101.89,10.99014,76.96904,136,1,99.92,Road Transport and Highways,0.0
PRJ-BI-1107,Patna Multi-Modal Logistics Park,Bihar,Patna,Social Impact Assessment (SIA),2023-03-28,2024-08-06,2024-12-13,497,21.3,0,Pending,2660,2022.39,25.61746,85.12535,129,1,99.55,Road Transport and Highways,0.0
